Alexandra Beer
Aline Rosenbluth
Amelie Hardt
Andrea Hartleben
Angelika Weis
Anne Taube
Anneli Hector
Anneli Nessel
Annelie Böhm
Annemarie Knauer
Antje Palotás
Bernadette Heim
Carola Schildenfeld
Carolin Fischinger
Cathrin Preissner
Cecilia Hecher
Celina Ehrenreich
Celine Schachtschneider
Chiara Schnyder
Chiara Vom Bruch
Christine Lichtenfels
Cornelia Plessner
Doris Holtz
Edith Boll
Eileen Erlbaum
Eleonore Brenner
Emelie Sonnenfeld
Eveline Haass
Felia Weingart
Felice Dorn
Felizia Sternberg
Gertrud Schaper
Gloria Semmler
Hannah Schleibaum
Henny Blaustein
Hermina Gegenbauer
Irma Siegel
Isabelle Rauschenberg
Janine Bergmann
Jessica Schauer
Julie Katzenbach
Julie Weinwurm
Kai Meyer
Karin Kesselman
Karolina Kippenberger
Karoline Junkermann
Karoline Lange
Kathrin Kracht
Kathrin Schlamme
Kim Gottschall
Layla Sundermann
Lia Hengsbach
Liliana Löw
Lio Böhnisch
Lotta Bär
Lotti Klopstock
Luka Taubman
Luzie Glas
Madlene Kohl
Manuela Abicht
Manuela Stellwagen
Margareta Schopenhauer
Mathilda Lehmann
Mendy Koegel
Mina Hantzsch
Mira Rogge
Mirjam Nemetz
Nadin Nottebohm
Nadja Kremers
Nancy Olberding
Neele Wachsmuth
Nini Nadelmann
Noah Orndorff
Noemi Mayer
Pauline Weininger
Rahel Kirschbaum
Rebecca Schubert
Rebekka Kestenbaum
Regina Katzen
Rike Pauli
Robin Wach
Rosa Blankenburg
Selina Drossel
Sonja Kippenberger
Sophie Kornberg
Stella Guttmacher
Stephanie Lindwurm
Stephanie Schwarzenegger
Svea Güldenstädt
Svenja Hanfstaengl
Swenja Metze
Sylvie Breytenbach
Tamara Schwertfeger
Thalia Bacharach
Tine Rinder
Valentina Grundmann
Vanessa Ehrenstein
Veronika Abegg
Wilhelmine Schieffer
Yessica Klotz
