Adarapho Ahrerion
Aeraro Dirraris
Aeronos Hestohrin
Aeronos Sanen
Belarro Eranen
Beleqor Dirrenohr
Belorno Brenymion
Brachelos Irnios
Brachyros Aenelar
Brachyros Maeganar
Daaronno Hotin
Donoros Pahrah
Draqesso Irnerion
Garradhor Hestyris
Garrenno Marah
Garros Pahrah
Gyllarro Nestymion
Gyllero Vhassahran
Gyllillos Faenahran
Gyllos Flaerolis
Gyllyllo Orlerah
Haran Marar
Harenno Enniros
Haresso Baerratis
Harlaphos Anerar
Harlos Hotios
Harlyllo Hestoyor
Harlynno Pahrolis
Haryros Iranahran
Horen Drennyl
Horio Maegonnis
Horonar Vollerah
Horoquo Fyllen
Illonos Fyllohrin
Illoros Hotyl
Innaro Faenanar
Inneo Nahinar
Innero Pahros
Innillos Naerar
Innonar Hestios
Irren Ostion
Irrio Stasserah
Jaerapho Flaeroran
Jaerario Dirraris
Jaerio Harterah
Jaeronno Nestyris
Jaeryros Sanel
Jaqeo Anerinar
Joreqor Faeninar
Joro Irrion
Jorys Sorranar
Larazoros Pahren
Larazyrio Mopyris
Lazenno Dyniris
Lazys Ostiris
Lysenhor Brenaris
Maerronos Irnatis
Malan Hestiros
Malesso Faeninar
Maliphos Vollel
Malonno Dynohr
Maran Forymion
Marero Fyllerah
Maro Hestoyor
Nako Hotelar
Norelos Irrinar
Noreo Nahahran
Noronno Hoterah
Noryros Eranoran
Nyessaphos Orlenohr
Nyessenhor Dynel
Nyessillos Orlar
Nyessonar Dynyl
Nyessynno Marirah
Salladhor Flaerin
Sallar Maegoris
Sallario Brenion
Sallario Fyllos
Salleo Phassiros
Sallyrio Vynel
Stalladhor Sorriros
Stallaphos Fyllohrin
Stallidos Nestyr
Stalliros Ostelar
Stallonno Hotirah
Syrillos Ennolis
Syroros Drennonnis
Syroros Dynion
Tregero Sanel
Tychidos Maegolis
Vararo Bahanar
Varello Naerys
Variphos Ostaan
Vogoros Nestios
Vyraquo Vollerris
Vyrenhor Nahassar
Vyro Dirroyor
Vyronos Naerah
Vyryros Hestenohr
Vyrys Dynios
