Арианна Хотинар
Ваеранах Эссорис
Ваерера Вассорлан
Ваерерах Нахатис
Ваерерах Эннерах
Ваереса Фасирион
Ваереяна Хартелар
Ваерина Щавелевая
Ваерола Ирририс
Вайна Эранирос
Вайнира Форел
Ваэрила Соррор
Веллалия Эннирис
Веллира Эссаан
Веллиса Бренинар
Веллола Эранеррис
Венилла Санеррис
Венира Эссинар
Верельна Стасирис
Винана Вайнассар
Диланея Стассия
Дилела Нестоннис
Дилила Энион
Дилорла Ормирис
Дорера Наерарис
Дорила Мопен
Дорона Фасси
Илила Ахрасар
Илья Воллин
Инераена Баэрраан
Инерера Хотолис
Инереса Ормор
Лаенила Орлохрин
Лейнианна Дреннассар
Лейнилла Ахролис
Лейнора Иррелар
Лерая Хотойор
Лерелла Пахрар
Лерила Эранимион
Мела Волла
Мелира Аэноран
Мешая Воллос
Мешена Пэнелар
Мешина Дреннор
Мещеяна Наерос
Минаша Энноран
Минилла Мопимион
Минола Диррера
Несыша Эссатис
Нилеша Наэрил
Нилолла Вайнах
Нилорла Воллеррис
Нилоша Баэрраар
Ноарилла Ормимион
Оналанея Бренель
Оналисса Аэнарис
Ораена Хотирос
Орана Ахрелар
Оролла Бренеррис
Орра Дреннелар
Саеланея Иррорин
Саэлилла Маэгирос
Серельна Нестис
Сирайя Хартос
Сирала Иранассар
Сиринея Фаэнир
Таенолана Остолис
Трианнилла Наерор
Трианнина Динера
Феналея Аэнинар
Фенина Воллель
Фенолла Стассенор
Фенора Воллолис
Фенорла Вайнассар
Фера Хестанар
Ферала Мопаэнор
Ферина Нахахран
Фея Эннерах
Фиранира Хартолис
Фиранора Иррар
Фирария Гестирион
Фиреса Бахорис
Фирилея Форейнор
Фироша Баэррерион
Харреа Ахрир
Харреса Бахеррис
Харреша Фейнис
Хенала Наэроран
Эринеша Бренатис
Эринисса Неста
Эрлиса Нестирос
Эрлолла Диррарис
Эрлорла Бренос
Эрлоша Иррор
