Адарафо Ахрерион
Аэраро Диррарис
Аэронос Санен
Аэронос Хесторин
Беларро Эранен
Белекор Дирренор
Белорно Бренимион
Брахелос Ирниос
Брахирос Маэганар
Брахирос Энелар
Вараро Баханар
Варелло Наерис
Варифос Остаан
Вогорос Нестиос
Выренхор Нахассар
Вырирос Хестенор
Вырис Диниос
Выро Дирройор
Гаррадхор Хестирис
Гарренно Мара
Гаррос Пахра
Дааронно Хотин
Джерарио Диррарис
Джерафо Флаероран
Джеронно Нестирис
Джилларро Нестимион
Джиллеро Вассахран
Джиллилло Орлерах
Джиллиллос Фаэнахран
Джорис Сорранар
Донарос Пахра
Дракессо Ирнерион
Иллонос Филлорин
Иллорос Хотыл
Иннаро Фаэнанар
Иннео Нахинар
Иннеро Пахрос
Инниллос Наэрар
Иннонар Гестиос
Иррен Остион
Иррио Стассерах
Йоро Иррион
Лазенно Динирис
Ларазирио Мопирис
Ларазорос Парен
Лени Остирис
Лизенхор Бренарис
Маерронос Ирнатис
Малан Хестирос
Малессо Фаенинар
Малифос Воллель
Малонно Динор
Маран Форимион
Мареро Филлерах
Маро Хестойор
Ниссенхор Дайнел
Норелос Ирринар
Норео Нахахран
Норирос Эраноран
Норонно Хотерах
Ньессафос Орленор
Ньессиллос Орлар
Ньессинно Марира
Ньессонар Динил
Салладор Флаэрин
Саллар Маэгорис
Салларио Бренион
Салларио Филлос
Саллео Фассирос
Саллирио Винель
Сириллос Эннолис
Сталладор Соррирос
Сталлафос Филлорин
Сталлидос Нестырь
Сталлирос Остелар
Сталлонно Хотира
Сыророс Динион
Сыророс Дренноннис
Тихидос Маэголис
Трегеро Санел
Харан Марар
Харенно Эннирос
Харессо Баэррати
Харирос Иранахран
Харлафос Анерар
Харлилло Хестойор
Харлинно Пахролис
Харлос Хотиос
Хорен Дреннил
Хорио Маэгоннис
Хороко Филлен
Хоронар Воллерах
