Гагодна Дак
Гендазмо Закак
Дагазла Голлхи
Дазменда Оок
Дакеззи Рхешин
Данизди Рхио
Дизнихо Нажан
Дондагхда Кеи
Зазмегхда Назкозн
Зекоха Кои
Зекхогхди Дизза
Зодногна Рхеллхир
Зоздозно Раузн
Зхамдога Ихорр
Зханаха Зиак
Зхарраха Аздар
Зхемасса Еозн
Зхирикна Лагазн
Зхолашо Хизка
Кагхдигхда Назза
Какаги Рахн
Киднамде Ихека
Кизмимда Зунд
Кокхаре Пагак
Комегдо Ехза
Лагело Гхашак
Легхдоша Ниаз
Лоздама Гхокказн
Локазза Рхогак
Магхдаша Агк
Мазлили Нардир
Мазмара Хал
Маканда Муи
Маррона Мазнузн
Мендала Орр
Мигхдаша Аахл
Могакхи Рхазна
Можадна Хиззек
Мошакно Рахло
Нагдозза Рош
Нагерро Куеак
Нагхдозмо Зуок
Нажасса Рхаган
Нахедне Лудхун
Немизде Схардузн
Низдожи Рхолек
Нишандо Дези
Ногхдеша Зхихлек
Пагнара Нокун
Палиха Зхеллхок
Пехога Схеррук
Пизнани Схознан
Пизнега Госнзн
Погегне Дхуснез
Праздигхда Зурдр
Празлегхда Заллхизн
Празназни Ерра
Пракхашо Ихикки
Пренакни Зхезза
Призмона Схоше
Пришозла Дхихнузн
Прокназло Машок
Раздагхде Рхаздиз
Раздаме Зешр
Ракхала Гхиснир
Регхдезни Накиз
Рокхако Нахлун
Сагиша Кукк
Саднаха Охл
Санара Конду
Сезлегди Номде
Секхагни Кау
Серраки Кардохл
Созмегхди Дуллха
Схагдазне Халлхахл
Схагекно Ландон
Схадноха Коухл
Схаздодна Келлхо
Схакханда Ихуе
Схамдиздо Икан
Схахакни Гхукнузн
Схекхина Рала
Схемдокно Осну
Схигхдизна Дхалун
Схижасса Хаккохл
Схикамдо Нае
Схилазмо Ихлз
Схожамдо Зхезно
Схоздаги Гоун
Схозлоки Хои
Схохема Зхигизн
Схошеги Схокка
Хазмаше Куузззн
Хакхага Пардак
Хамаха Декан
Хамизза Гхахзе
Харрага Уозн
Хассажа Леа
Хизлагна Родхо
Хикхаша Рхарн
