Абришам Сингх
Авазех Шамбани
Адак Лангах
Азар Абиди
Азармидохт Шахвани
Айназ Газини
Айтуна Дарзада
Аля Калпар
Ара Сатти
Арман Индра
Асал Хосо
Асам Ибрагим
Афруз Гуль
Афтаб Хушк
Бильге Пасси
Вайдия Туркхель 
Галиба Малик
Гоксун Саади
Голазин Тураби
Голбу Какар
Голши Лонгфи
Гузель Какар
Гунес Ринд
Гюндуз Салим
Дарья Ширани
Делафруз Сайфи
Дельбар Ризви
Делькаш Мусави
Джахан Ара Лохарани
Дорна Сайфи
Исит Накви
Иффат Барлас
Катане Карлал
Лаайка Буриро
Лида Садозай
Мадейха Бухари
Малиса Ризви
Малус Аббаси
Манаал Факир
Манда Дуррани
Массуме Булфати
Махбуб Патель
Мелоди Гадхи
Музайна Дуггал
Муниса Джарвар
Мунифа Ханги
Назбану Махдум
Назу Ниази
Накийя Гурмани
Нахале Альпиал
Ниаз Кази
Нику-Наз Шар
Нихан Даривал
Ногол Камбарзахи
Нушин Умарзай
Оздес Мачи
Олчай Гызылбаш
Омур Джамали
Паранд Усмани
Парандис Джагирани
Парван Чаухан
Паривар Гадхи
Парисатис Рахия
Пунел Лунд
Раабия Тахирхели
Райхан Лангхани
Рамак Джоги
Роксана Сарбани
Рохша Ризви
Рошан Карлал
Сайех Лангхани
Санем Джафари
Сафих Жатой
Саяр Бандай
Севхе Карал
Сетарех Ибрагим
Соганд Сури
Соррая Джарвар
Суна Вирк
Тан Кумбхар
Фарахназ Рафик
Фаример Дехвар
Форуз Мамунд
Форузанде Хамадани
Хаания Мегвар
Халила Османи
Хамда Сайед
Хасана Фирдоуси
Хенгамех Раджпар
Хина Джалаван
Хония Хоса
Шараре Альви
Шахед Дарешак
Шахла Сабзвари
Шахпар Харал
Шиба Таноли
Шорех Бангиал
Эврим Гандапур
Эге Бхатия
Эффат Сайфи
