Адарафо Ахреріон
Аераро Дірраріс
Аеронос Санен
Аеронос Хесторін
Беларро Єранен
Белекор Дірренор
Білорно Бреніміон
Брахелос Ірніос
Брахірос Маєганар
Брахірос Єнелар
Вараро Баханар
Варелло Наеріс
Варіфос Остаан
Вогорос Нестіос
Віренхор Нахасар
Вірірос Хестенор
Віріс Дініос
Віро Дірройор
Гаррадхор Хестіріс
Гарренно Мара
Гаррос Пахра
Дааронно Хотін
Джераріо Дірраріс
Джерафо Флаероран
Джеронно Нестіріс
Джілларро Нестіміон
Джіллеро Вассахран
Джиллілло Орлерах
Джиллілос Фаєнахран
Джоріс Сорранар
Донарос Пахра
Дракессо Ірнеріон
Іллонос Філлорін
Іллорос Хотіл
Іннаро Фаєнанар
Іннео Нахінар
Іннеро Пахрос
Іннілос Наерар
Іннонар Гестіос
Іррен Остіон
Ірріо Стассерах
Йоро Ірріон
Лазенно Дініріс
Ларазіріо Мопіріс
Ларазорос Парен
Лені Остіріс
Лізенхор Бренаріс
Маєрронос Ірнатіс
Малан Хестірос
Малессо Фаенінар
Маліфос Воллель
Малонно Дінор
Маран Форіміон
Мареро Філлерах
Маро Хестойор
Ніссенхор Дайнел
Норелос Ірінар
Норео Нахахран
Норірос Єраноран
Норонно Хотерах
Ньєссафос Орленор
Ньессілос Орлар
Ньосінно Маріра
Ньессонар Дініл
Салладор Флаєрін
Саллар Маєгоріс
Салларіо Бреніон
Салларіо Філос
Саллео Фассірос
Саліріо Вінель
Сірілос Еноліс
Сталадор Соррірос
Сталлафос Філлорін
Сталідос Нестир
Сталірос Остелар
Сталлонно Хотіра
Сіророс Дініон
Сіророс Дреннонніс
Тихідос Маеголіс
Трегеро Санел
Харан Марар
Харенно Еннірос
Харессо Баєрраті
Харірос Іранахран
Харлафос Анерар
Харлілло Хестойор
Харлінно Пахроліс
Харлос Хотіос
Хорен Дренніл
Хоріо Маєгоніс
Хороко Філлен
Хоронар Воллерах
