Adian Fabricante de Ferro
Adrew Pescador
Ammett Crabb
Andren Kell
Arving Brask
Athen Spirre
Barrian Swann
Brarton Thaller
Camern Ferro Cinzento
Carrel Tascer
Chandren Templeton
Charad Ruthermont
Charres Farrin
Chrass Chelsted
Corban Hallaw
Corrad Yew
Crodell Brewlan
Crodell Dragen
Culler Granes
Dallar Arqueiro
Dallar Falcin
Danire Peckledon
Dannis Coração de Carvalho
Darne Gargalen
Dayron Vypren
Denzin Sargen
Dorin Cartwell
Dorin Myre
Dorrick Pontes
Drak Crowlin
Dromin Gower
Duncas Baerley
Dustran Malver
Dyron Stane
Eddard Chester
Efran Foral
Eliar Penrose
Emersen Knott
Gabrin Volmark
Gannon Clegane
Gannon Flint
Garrel Martell
Gordar Daxer
Grandin Caswell
Grandin Chelsted
Gravven Slait
Greysor Keller
Hugar Lowther
Ivarn Bryne
Ivarn Perryn
Jacke Wars
Jaron Smithe
Jarrad Cherrane
Jarson Stewar
Javor Selle
Jaze Follard
Jeran Carpenter
Jeran Follard
Jeran Frosher
Jevan Esfolador
Josian Homem-Alto
Jullon Frey
Kayl Farwynd
Kayl Perryn
Kober Qorgyle
Kober Stanner
Kyllan Cockshaw
Lanard Merser
Landor Bebeágua
Lawsen Orme
Lucan Cassel
Manrel Lowther
Margan Leygood
Mavrock Oatwright
Melvan Sadlyn
Miltar Hasty
Mitchar Chaimbers
Myle Rosby
Nithan Piler
Raman Sadlyn
Rass Cassel
Rechar Drox
Ryden Frosher
Rylen Blackmyre
Samurel Graen
Sarrac Morshall
Seldan Sloane
Semar Caleman
Shale Musgo
Shale Sringer
Sulvan Barler
Tavion Thaller
Thomos Blest
Timos Sloane
Tobin Practor
Toman Cannion
Toman Terrick
Tyron Longthorpe
Varn Farman
Zane Purell
