Александра Бир
Алина Розенблут
Амелия Хардт
Андреа Хартлебен
Анжелика Вайс
Анна Таубе
Аннели Бем
Аннели Гектор
Аннели Нессель
Аннемари Кнауэр
Антье Палотас
Бернадетт Хейм
Валентина Грундманн
Ванесса Эренштейн
Вероника Абегг
Вильгельмина Шиффер
Гермина Гегенбауэр
Гертруда Шапер
Глория Земмлер
Джанин Бергманн
Джессика Шауэр
Джули Вайнвурм
Дорис Хольц
Есика Клотц
Жюли Катценбах
Зубчатый Риндер
Изабель Раушенберг
Ирма Сигел
Кай Мейер
Карин Кессельман
Карола Шильденфельд
Каролин Ланге
Каролин Фишингер
Каролин Юнкерманн
Каролина Киппенбергер
Ким Готтшалл
Корнелия Плеснер
Кристина Лихтенфельс
Кьяра Вомбрух
Кьяра Шнайдер
Кэтрин Крахт
Кэтрин Прейсснер
Кэтрин Шламм
Лейла Сандерманн
Лилиана Леви
Лио Бениш
Лия Хенгсбах
Лотта Бэр
Лотти Клопсток
Лука Таубман
Люзи Глас
Мадлен Коль
Мануэла Абихт
Мануэла Стеллваген
Маргарета Шопенгауэр
Матильда Леманн
Менди Кегель
Мина Ханцш
Мира Рогге
Мирджам Цемен
Надин Ноттебом
Надя Кремерс
Нил Вахсмут
Нини Наделманн
Ноа Орндорф
Ноэми Майер
Нэнси Олбердинг
Полин Вайнингер
Райк Паули
Рахель Киршбаум
Ребекка Кестенбаум
Ребекка Шуберт
Регина Катцен
Робин Вач
Роза Бланкенбург
Свеа Гюльденштедт
Свенья Ханфштенгль
Свеня Метце
Селин Шахтшнейдер
Селина Дроссель
Селина Эренрайх
Сесилия Хечер
Сильви Брейтенбах
Соня Киппенбергер
Софи Корнберг
Стелла Гутмахер
Стефани Линдвурм
Стефани Шварц
Талия Бахарах
Тамара Швертфегер
Фелиция Дорн
Фелиция Штернберг
Фелия Вайнгарт
Ханна Шлейбаум
Хенни Блаустейн
Эвелин Хаасс
Эдит Болл
Эйлин Эрлбаум
Элеонора Бреннер
Эмели Зонненфельд
